page_type,시도,시군구,읍면동,리,지역표시명,source_html,confidence,is_valid,validation_note
region,강원특별자치도,속초시,속초시교동,,속초시교동,C:\Users\user\Documents\GitHub\studynavi\강원과외\속초시과외\속초시교동과외\index.html,high,true,정상
region,강원특별자치도,속초시,속초시수학,,속초시수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\속초시과외\속초시수학과외\index.html,high,true,정상
region,강원특별자치도,속초시,속초시영어,,속초시영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\속초시과외\속초시영어과외\index.html,high,true,정상
region,강원특별자치도,속초시,장사동,,장사동,C:\Users\user\Documents\GitHub\studynavi\강원과외\속초시과외\장사동과외\index.html,high,true,정상
region,강원특별자치도,속초시,조양동,,조양동,C:\Users\user\Documents\GitHub\studynavi\강원과외\속초시과외\조양동과외\index.html,high,true,정상
region,강원특별자치도,양구군,,,양구군,C:\Users\user\Documents\GitHub\studynavi\강원과외\양구군과외\index.html,high,true,정상
region,강원특별자치도,양구군,남동,,남동,C:\Users\user\Documents\GitHub\studynavi\강원과외\양구군과외\강원남동과외\index.html,high,true,정상
region,강원특별자치도,양구군,양구군수학,,양구군수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\양구군과외\양구군수학과외\index.html,high,true,정상
region,강원특별자치도,양구군,양구군영어,,양구군영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\양구군과외\양구군영어과외\index.html,high,true,정상
region,강원특별자치도,영월군,,,영월군,C:\Users\user\Documents\GitHub\studynavi\강원과외\영월군과외\index.html,high,true,정상
region,강원특별자치도,영월군,상동,,상동,C:\Users\user\Documents\GitHub\studynavi\강원과외\영월군과외\강원상동과외\index.html,high,true,정상
region,강원특별자치도,영월군,영월군수학,,영월군수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\영월군과외\영월군수학과외\index.html,high,true,정상
region,강원특별자치도,영월군,영월군영어,,영월군영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\영월군과외\영월군영어과외\index.html,high,true,정상
region,강원특별자치도,영월군,영월동,,영월동,C:\Users\user\Documents\GitHub\studynavi\강원과외\영월군과외\영월동과외\index.html,high,true,정상
region,강원특별자치도,원주시,,,원주시,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\index.html,high,true,정상
region,강원특별자치도,원주시,명륜동,,명륜동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\강원명륜동과외\index.html,high,true,정상
region,강원특별자치도,원주시,반곡동,,반곡동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\강원반곡동과외\index.html,high,true,정상
region,강원특별자치도,원주시,우산동,,우산동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\강원우산동과외\index.html,high,true,정상
region,강원특별자치도,원주시,일산동,,일산동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\강원일산동과외\index.html,high,true,정상
region,강원특별자치도,원주시,개운동,,개운동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\개운동과외\index.html,high,true,정상
region,강원특별자치도,원주시,관설동,,관설동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\관설동과외\index.html,high,true,정상
region,강원특별자치도,원주시,단계동,,단계동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\단계동과외\index.html,high,true,정상
region,강원특별자치도,원주시,단구동,,단구동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\단구동과외\index.html,high,true,정상
region,강원특별자치도,원주시,마지동,,마지동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\마지동과외\index.html,high,true,정상
region,강원특별자치도,원주시,무실동,,무실동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\무실동과외\index.html,high,true,정상
region,강원특별자치도,원주시,원주시수학,,원주시수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\원주시수학과외\index.html,high,true,정상
region,강원특별자치도,원주시,원주시영어,,원주시영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\원주시영어과외\index.html,high,true,정상
region,강원특별자치도,원주시,태장동,,태장동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\태장동과외\index.html,high,true,정상
region,강원특별자치도,원주시,행구동,,행구동,C:\Users\user\Documents\GitHub\studynavi\강원과외\원주시과외\행구동과외\index.html,high,true,정상
region,강원특별자치도,정선군,,,정선군,C:\Users\user\Documents\GitHub\studynavi\강원과외\정선군과외\index.html,high,true,정상
region,강원특별자치도,정선군,신동,,신동,C:\Users\user\Documents\GitHub\studynavi\강원과외\정선군과외\강원신동과외\index.html,high,true,정상
region,강원특별자치도,정선군,정선군수학,,정선군수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\정선군과외\정선군수학과외\index.html,high,true,정상
region,강원특별자치도,정선군,정선군영어,,정선군영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\정선군과외\정선군영어과외\index.html,high,true,정상
region,강원특별자치도,춘천시,,,춘천시,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\index.html,high,true,정상
region,강원특별자치도,춘천시,낙원동,,낙원동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\강원낙원동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,효자동,,효자동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\강원효자동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,사농동,,사농동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\사농동과외\index.html,high,true,정상
