page_type,시도,시군구,읍면동,리,지역명,학교명,학교급,대상,과목,메인키워드,슬러그,제목,설명,본문,source_html
school,경기도,광명시,철산동,,광명북고등학교,광명북고등학교,고등학교,고등학생,국영수과외,광명북고등학교 고등학생 국영수과외,광명북고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\철산동과외\광명북고과외\index.html
school,경상남도,창원시,양덕동,,한일여자고등학교,한일여자고등학교,고등학교,고등학생,영어과외,한일여자고등학교 고등학생 영어과외,한일여자고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경남과외\창원시과외\경남양덕동과외\한일여자고과외\index.html
school,경상북도,포항시,두호동,,두호고등학교,두호고등학교,고등학교,고등학생,영어과외,두호고등학교 고등학생 영어과외,두호고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경북과외\포항시과외\두호동과외\두호고과외\index.html
school,광주광역시,광산구,수완동,,명진고등학교,명진고등학교,고등학교,고등학생,수학과외,명진고등학교 고등학생 수학과외,명진고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\광주과외\광산구과외\수완동과외\명진고과외\index.html
school,대구광역시,동구,신평동,,조일고등학교,조일고등학교,고등학교,고등학생,수학과외,조일고등학교 고등학생 수학과외,조일고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\대구과외\동구과외\대구신평동과외\조일고과외\index.html
school,대전광역시,유성구,노은동,,대전노은고등학교,대전노은고등학교,고등학교,고등학생,수학과외,대전노은고등학교 고등학생 수학과외,대전노은고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\대전과외\유성구과외\노은동과외\대전노은고과외\index.html
school,부산광역시,서구,동대신동,,경남고등학교,경남고등학교,고등학교,고등학생,국영수과외,경남고등학교 고등학생 국영수과외,경남고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\부산과외\서구과외\동대신동과외\경남고과외\index.html
school,서울특별시,동작구,사당동,,동작고등학교,동작고등학교,고등학교,고등학생,영어과외,동작고등학교 고등학생 영어과외,동작고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\서울과외\동작구과외\사당동과외\동작고과외\index.html
school,세종특별자치시,세종시,반곡동,,반곡고등학교,반곡고등학교,고등학교,고등학생,국영수과외,반곡고등학교 고등학생 국영수과외,반곡고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\세종과외\세종시과외\세종반곡동과외\반곡고과외\index.html
school,울산광역시,남구,신정동,,울산강남고등학교,울산강남고등학교,고등학교,고등학생,영어과외,울산강남고등학교 고등학생 영어과외,울산강남고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\울산과외\남구과외\울산신정동과외\울산강남고과외\index.html
school,인천광역시,부평구,산곡동,,부광고등학교,부광고등학교,고등학교,고등학생,수학과외,부광고등학교 고등학생 수학과외,부광고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\인천과외\부평구과외\산곡동과외\부광고과외\index.html
school,전라남도,목포시,목포시용당동,,목상고등학교,목상고등학교,고등학교,고등학생,수학과외,목상고등학교 고등학생 수학과외,목상고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전남과외\목포시과외\목포시용당동과외\목상고과외\index.html
school,전북특별자치도,전주시,효자동,,동암고등학교,동암고등학교,고등학교,고등학생,수학과외,동암고등학교 고등학생 수학과외,동암고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전북과외\전주시과외\전북효자동과외\동암고과외\index.html
school,제주특별자치도,제주시,봉개동,,대기고등학교,대기고등학교,고등학교,고등학생,수학과외,대기고등학교 고등학생 수학과외,대기고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\제주과외\제주시과외\봉개동과외\대기고과외\index.html
school,충청남도,공주시,중학동,,공주고등학교,공주고등학교,고등학교,고등학생,영어과외,공주고등학교 고등학생 영어과외,공주고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\충남과외\공주시과외\중학동과외\공주고과외\index.html
school,충청북도,청주시,용담동,,주성고등학교,주성고등학교,고등학교,고등학생,영어과외,주성고등학교 고등학생 영어과외,주성고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\충북과외\청주시과외\용담동과외\주성고과외\index.html
school,강원특별자치도,강릉시,지변동,,강릉문성고등학교,강릉문성고등학교,고등학교,고등학생,영어과외,강릉문성고등학교 고등학생 영어과외,강릉문성고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\지변동과외\강릉문성고과외\index.html
school,경기도,양주시,삼숭동,,양주고등학교,양주고등학교,고등학교,고등학생,영어과외,양주고등학교 고등학생 영어과외,양주고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경기과외\양주시과외\삼숭동과외\양주고과외\index.html
school,경상남도,창원시,팔용동,,창원성민여자고등학교,창원성민여자고등학교,고등학교,고등학생,국영수과외,창원성민여자고등학교 고등학생 국영수과외,창원성민여자고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경남과외\창원시과외\팔용동과외\창원성민여자고과외\index.html
school,경상북도,영천시,도동,,영천성남여자고등학교,영천성남여자고등학교,고등학교,고등학생,수학과외,영천성남여자고등학교 고등학생 수학과외,영천성남여자고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\경북과외\영천시과외\경북도동과외\영천성남여자고과외\index.html
school,광주광역시,북구,일곡동,,살레시오고등학교,살레시오고등학교,고등학교,고등학생,영어과외,살레시오고등학교 고등학생 영어과외,살레시오고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\광주과외\북구과외\일곡동과외\살레시오고과외\index.html
school,대구광역시,동구,신천동,,청구고등학교,청구고등학교,고등학교,고등학생,수학과외,청구고등학교 고등학생 수학과외,청구고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\대구과외\동구과외\대구신천동과외\청구고과외\index.html
school,대전광역시,유성구,관평동,,중일고등학교,중일고등학교,고등학교,고등학생,수학과외,중일고등학교 고등학생 수학과외,중일고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\대전과외\유성구과외\관평동과외\중일고과외\index.html
school,부산광역시,동래구,사직동,,사직여자고등학교,사직여자고등학교,고등학교,고등학생,수학과외,사직여자고등학교 고등학생 수학과외,사직여자고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\부산과외\동래구과외\부산사직동과외\사직여자고과외\index.html
school,서울특별시,은평구,진관동,,신도고등학교,신도고등학교,고등학교,고등학생,국영수과외,신도고등학교 고등학생 국영수과외,신도고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\서울과외\은평구과외\진관동과외\신도고과외\index.html
school,세종특별자치시,세종시,종촌동,,종촌고등학교,종촌고등학교,고등학교,고등학생,수학과외,종촌고등학교 고등학생 수학과외,종촌고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\세종과외\세종시과외\종촌동과외\종촌고과외\index.html
school,울산광역시,남구,선암동,,울산삼일고등학교,울산삼일고등학교,고등학교,고등학생,수학과외,울산삼일고등학교 고등학생 수학과외,울산삼일고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\울산과외\남구과외\울산선암동과외\울산삼일고과외\index.html
school,인천광역시,중구,운서동,,인천하늘고등학교,인천하늘고등학교,고등학교,고등학생,수학과외,인천하늘고등학교 고등학생 수학과외,인천하늘고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\인천과외\중구과외\운서동과외\인천하늘고과외\index.html
school,전라남도,순천시,순천시용당동,,순천효산고등학교,순천효산고등학교,고등학교,고등학생,수학과외,순천효산고등학교 고등학생 수학과외,순천효산고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전남과외\순천시과외\순천시용당동과외\순천효산고과외\index.html
school,전북특별자치도,전주시,장동,,양현고등학교,양현고등학교,고등학교,고등학생,수학과외,양현고등학교 고등학생 수학과외,양현고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전북과외\전주시과외\전북장동과외\양현고과외\index.html
school,제주특별자치도,제주시,이도이동,,제주중앙여자고등학교,제주중앙여자고등학교,고등학교,고등학생,영어과외,제주중앙여자고등학교 고등학생 영어과외,제주중앙여자고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\제주과외\제주시과외\이도이동과외\제주중앙여자고과외\index.html
school,충청남도,논산시,등화동,,논산대건고등학교,논산대건고등학교,고등학교,고등학생,영어과외,논산대건고등학교 고등학생 영어과외,논산대건고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\충남과외\논산시과외\등화동과외\논산대건고과외\index.html
school,충청북도,영동군,영동군영동,,영동미래고등학교,영동미래고등학교,고등학교,고등학생,영어과외,영동미래고등학교 고등학생 영어과외,영동미래고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\충북과외\영동군과외\영동군영동과외\영동미래고과외\index.html
school,강원특별자치도,강릉시,초당동,,강릉고등학교,강릉고등학교,고등학교,고등학생,영어과외,강릉고등학교 고등학생 영어과외,강릉고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\초당동과외\강릉고과외\index.html
school,경기도,시흥시,하상동,,시흥고등학교,시흥고등학교,고등학교,고등학생,국영수과외,시흥고등학교 고등학생 국영수과외,시흥고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경기과외\시흥시과외\하상동과외\시흥고과외\index.html
school,경상남도,김해시,율하동,,김해외국어고등학교,김해외국어고등학교,고등학교,고등학생,국영수과외,김해외국어고등학교 고등학생 국영수과외,김해외국어고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경남과외\김해시과외\경남율하동과외\김해외국어고과외\index.html
school,경상북도,경산시,경산시사동,,사동고등학교,사동고등학교,고등학교,고등학생,국영수과외,사동고등학교 고등학생 국영수과외,사동고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경북과외\경산시과외\경산시사동과외\사동고과외\index.html
school,광주광역시,서구,화정동,,광덕고등학교,광덕고등학교,고등학교,고등학생,국영수과외,광덕고등학교 고등학생 국영수과외,광덕고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\광주과외\서구과외\광주화정동과외\광덕고과외\index.html
school,대구광역시,수성구,욱수동,,덕원고등학교,덕원고등학교,고등학교,고등학생,국영수과외,덕원고등학교 고등학생 국영수과외,덕원고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\대구과외\수성구과외\욱수동과외\덕원고과외\index.html
